Rank,Rankscore,Nick,Name
1,424,Player0027,Pásztor Johanna
2,421,Player001c,Tót Radakund
3,418,Player001f,Budai Kála
4,405,Player000b,Mészáros Zója
5,391,Player004a,Hajdú Tömörkény
6,386,Player0005,Hajdú András
7,382,Player003d,Gulyás Flanna
8,360,Player004b,Nemes Csedő
9,355,Player0040,Mészáros Bogdán
10,354,Player0045,Tót Filoméla
11,352,Player0036,Tóth Bátony
12,352,Player0035,Sóos Fehéra
13,352,Player0035,Sóos Fehéra
14,351,Player004f,Novák Margarét
15,347,Player0009,Balog Szilvió
16,346,Player0010,Rácz Lamberta
17,343,Player0061,Hegedűs Eldvin
18,343,Player0031,Nagy Sugárka
19,343,Player0052,Sipos Dorog
20,342,Player0044,Varga Ulrika
21,342,Player002d,Pataki Jozefina
22,342,Player005f,Sipos Zotmund
23,341,Player0013,Német Cippóra
24,340,Player0028,Kováts Eliz
25,334,Player003b,Bakos Kalliopé
26,333,Player0048,Takács Zselyke
27,333,Player0011,Szalai Jávorka
28,331,Player003d,Gulyás Flanna
29,328,Player0051,Lakatos Szemirámisz
30,328,Player004b,Nemes Csedő
31,327,Player0030,Török Rajka
32,326,Player002a,Tóth Kocsárd
33,325,Player0056,Szűcs Torna
34,324,Player001d,Szilágyi Apszik
35,324,Player005a,Szabó Fürtike
36,322,Player0059,Bakos Szörénke
37,321,Player0054,Kovács Antal
38,320,Player000e,Kocsis Inke
39,318,Player0054,Kovács Antal
40,316,Player0015,Magyar Évald
41,316,Player002b,Juhász Fabó
42,315,Player0020,Kováts Zelinke
43,315,Player002b,Juhász Fabó
44,313,Player003e,Bakos Vásti
45,313,Player0029,Kis Eugénia
46,312,Player001c,Tót Radakund
47,312,Player000a,Lakatos Ozor
48,312,Player004b,Nemes Csedő
49,311,Player0010,Rácz Lamberta
50,310,Player0049,Német Jarmila
51,310,Player001c,Tót Radakund
52,309,Player0006,Sipos Genovéva
53,308,Player004c,Lengyel Ódor
54,308,Player0019,Kovách Fillisz
55,308,Player000e,Kocsis Inke
56,307,Player0052,Sipos Dorog
57,306,Player004d,Juhász Margarita
58,306,Player0016,Mészáros Herta
59,305,Player0058,Molnár Antigon
60,305,Player003c,Pásztor Bökény
61,304,Player0058,Molnár Antigon
62,303,Player0016,Mészáros Herta
63,303,Player0009,Balog Szilvió
64,303,Player0050,Lakatos Terestyén
65,303,Player0025,Balog Polina
66,303,Player001b,Major Léla
67,302,Player0055,Nemes Ferdinanda
68,301,Player0012,Kovách Annamária
69,300,Player0004,Székely Hódos
70,299,Player0010,Rácz Lamberta
71,299,Player005f,Sipos Zotmund
72,299,Player0059,Bakos Szörénke
73,299,Player0036,Tóth Bátony
74,298,Player0025,Balog Polina
75,298,Player0041,Molnár Samu
76,298,Player0050,Lakatos Terestyén
77,297,Player004e,Szilágyi Nyilas
78,297,Player003e,Bakos Vásti
79,297,Player003f,Fazekas Zoárda
80,297,Player0032,Szűcs Obadiás
81,297,Player003a,Török Bartyán
82,296,Player0023,Lakatos Koriolán
83,295,Player0013,Német Cippóra
84,294,Player0019,Kovách Fillisz
85,293,Player0019,Kovách Fillisz
86,293,Player0011,Szalai Jávorka
87,293,Player0016,Mészáros Herta
88,292,Player000e,Kocsis Inke
89,292,Player0041,Molnár Samu
90,292,Player0052,Sipos Dorog
91,291,Player0054,Kovács Antal
92,290,Player005f,Sipos Zotmund
93,290,Player0052,Sipos Dorog
94,289,Player001a,Halász Linett
95,289,Player0035,Sóos Fehéra
96,288,Player001f,Budai Kála
97,288,Player0026,Német Márk
98,288,Player003e,Bakos Vásti
99,288,Player0051,Lakatos Szemirámisz
100,287,Player0010,Rácz Lamberta
