Rank,Rankscore,Nick,Name
1,420,Player0043,Deák Margarita
2,396,Player0063,Takács Pécs
3,394,Player000f,Kis Enna
4,385,Player0023,Lakatos Koriolán
5,373,Player0003,Virágh Fernanda
6,373,Player0064,Takács Goldi
7,371,Player0048,Takács Zselyke
8,367,Player0061,Hegedűs Eldvin
9,365,Player0027,Pásztor Johanna
10,365,Player005b,Német Bernát
11,364,Player0058,Molnár Antigon
12,364,Player0036,Tóth Bátony
13,363,Player003c,Pásztor Bökény
14,360,Player0034,Török Fernandó
15,359,Player004c,Lengyel Ódor
16,356,Player001d,Szilágyi Apszik
17,355,Player0033,Pataki Anics
18,354,Player0017,Kozma Baldemár
19,352,Player0006,Sipos Genovéva
20,352,Player000c,Farkas Burzán
21,350,Player0032,Szűcs Obadiás
22,348,Player0029,Kis Eugénia
23,346,Player002b,Juhász Fabó
24,346,Player004f,Novák Margarét
25,343,Player0036,Tóth Bátony
26,343,Player0041,Molnár Samu
27,340,Player0046,Barna Zinajda
28,339,Player0062,Vincze Dezsider
29,338,Player0063,Takács Pécs
30,337,Player003d,Gulyás Flanna
31,337,Player0004,Székely Hódos
32,336,Player0013,Német Cippóra
33,336,Player0036,Tóth Bátony
34,336,Player0048,Takács Zselyke
35,336,Player0041,Molnár Samu
36,335,Player0030,Török Rajka
37,335,Player000d,Magyar Vitolda
38,334,Player0002,Vincze Lenóra
39,334,Player0045,Tót Filoméla
40,331,Player0054,Kovács Antal
41,331,Player005c,Major Stefi
42,330,Player0011,Szalai Jávorka
43,329,Player0059,Bakos Szörénke
44,328,Player005f,Sipos Zotmund
45,327,Player001c,Tót Radakund
46,324,Player0033,Pataki Anics
47,323,Player000d,Magyar Vitolda
48,322,Player0013,Német Cippóra
49,322,Player0044,Varga Ulrika
50,321,Player003f,Fazekas Zoárda
51,321,Player0009,Balog Szilvió
52,320,Player0001,Tót Jutalom
53,320,Player004a,Hajdú Tömörkény
54,317,Player004f,Novák Margarét
55,317,Player003d,Gulyás Flanna
56,315,Player002a,Tóth Kocsárd
57,314,Player0013,Német Cippóra
58,313,Player001f,Budai Kála
59,312,Player0014,Bíró Hamilton
60,312,Player0017,Kozma Baldemár
61,311,Player0057,Németh Szendike
62,311,Player005b,Német Bernát
63,310,Player001d,Szilágyi Apszik
64,310,Player0047,Székely Rajmonda
65,310,Player0023,Lakatos Koriolán
66,310,Player0013,Német Cippóra
67,309,Player0028,Kováts Eliz
68,308,Player003b,Bakos Kalliopé
69,308,Player0001,Tót Jutalom
70,307,Player003b,Bakos Kalliopé
71,307,Player003b,Bakos Kalliopé
72,305,Player0006,Sipos Genovéva
73,305,Player0035,Sóos Fehéra
74,305,Player0006,Sipos Genovéva
75,304,Player0013,Német Cippóra
76,304,Player005d,Gulyás Bercel
77,304,Player0045,Tót Filoméla
78,304,Player002c,Varga Balzsam
79,304,Player0063,Takács Pécs
80,303,Player005f,Sipos Zotmund
81,303,Player0062,Vincze Dezsider
82,303,Player004d,Juhász Margarita
83,302,Player002b,Juhász Fabó
84,302,Player0040,Mészáros Bogdán
85,301,Player0005,Hajdú András
86,300,Player005a,Szabó Fürtike
87,300,Player0013,Német Cippóra
88,300,Player0032,Szűcs Obadiás
89,299,Player001f,Budai Kála
90,299,Player002f,Nagy Szulita
91,298,Player0058,Molnár Antigon
92,298,Player0006,Sipos Genovéva
93,297,Player003a,Török Bartyán
94,297,Player0011,Szalai Jávorka
95,297,Player0032,Szűcs Obadiás
96,294,Player005a,Szabó Fürtike
97,294,Player0053,Barna Boglárka
98,294,Player000e,Kocsis Inke
99,294,Player004f,Novák Margarét
100,293,Player0006,Sipos Genovéva
