Rank,Rankscore,Nick,Name
1,437,Player004b,Nemes Csedő
2,380,Player0059,Bakos Szörénke
3,376,Player0032,Szűcs Obadiás
4,375,Player002d,Pataki Jozefina
5,366,Player002d,Pataki Jozefina
6,363,Player0016,Mészáros Herta
7,360,Player0063,Takács Pécs
8,360,Player0048,Takács Zselyke
9,359,Player003d,Gulyás Flanna
10,357,Player005d,Gulyás Bercel
11,352,Player0061,Hegedűs Eldvin
12,352,Player0020,Kováts Zelinke
13,344,Player0006,Sipos Genovéva
14,343,Player0036,Tóth Bátony
15,342,Player0052,Sipos Dorog
16,341,Player002c,Varga Balzsam
17,341,Player0055,Nemes Ferdinanda
18,340,Player002d,Pataki Jozefina
19,339,Player0042,Major Paks
20,338,Player002e,Rácz Ahillész
21,338,Player0035,Sóos Fehéra
22,335,Player0019,Kovách Fillisz
23,334,Player001f,Budai Kála
24,334,Player0020,Kováts Zelinke
25,333,Player005d,Gulyás Bercel
26,331,Player0007,Farkas Viola
27,330,Player005d,Gulyás Bercel
28,330,Player0001,Tót Jutalom
29,326,Player0034,Török Fernandó
30,326,Player0045,Tót Filoméla
31,326,Player003c,Pásztor Bökény
32,326,Player0055,Nemes Ferdinanda
33,325,Player0023,Lakatos Koriolán
34,325,Player002a,Tóth Kocsárd
35,321,Player0010,Rácz Lamberta
36,320,Player0046,Barna Zinajda
37,320,Player003f,Fazekas Zoárda
38,319,Player0019,Kovách Fillisz
39,318,Player005b,Német Bernát
40,317,Player0007,Farkas Viola
41,315,Player001b,Major Léla
42,313,Player000f,Kis Enna
43,312,Player0018,Balog Konrád
44,312,Player0016,Mészáros Herta
45,312,Player0004,Székely Hódos
46,311,Player0002,Vincze Lenóra
47,311,Player000e,Kocsis Inke
48,311,Player0001,Tót Jutalom
49,310,Player0028,Kováts Eliz
50,305,Player0054,Kovács Antal
51,304,Player005f,Sipos Zotmund
52,303,Player0047,Székely Rajmonda
53,302,Player0058,Molnár Antigon
54,302,Player003f,Fazekas Zoárda
55,302,Player0034,Török Fernandó
56,301,Player0027,Pásztor Johanna
57,301,Player0045,Tót Filoméla
58,301,Player002a,Tóth Kocsárd
59,301,Player002c,Varga Balzsam
60,300,Player005b,Német Bernát
61,300,Player0041,Molnár Samu
62,299,Player000d,Magyar Vitolda
63,299,Player0054,Kovács Antal
64,299,Player003e,Bakos Vásti
65,299,Player0008,Nemes Füvellő
66,298,Player0007,Farkas Viola
67,298,Player003f,Fazekas Zoárda
68,298,Player0045,Tót Filoméla
69,296,Player004e,Szilágyi Nyilas
70,296,Player0009,Balog Szilvió
71,296,Player001f,Budai Kála
72,294,Player0018,Balog Konrád
73,294,Player0023,Lakatos Koriolán
74,294,Player0019,Kovách Fillisz
75,293,Player0012,Kovách Annamária
76,293,Player0025,Balog Polina
77,293,Player0061,Hegedűs Eldvin
78,292,Player0034,Török Fernandó
79,291,Player0041,Molnár Samu
80,291,Player001c,Tót Radakund
81,291,Player0002,Vincze Lenóra
82,290,Player0043,Deák Margarita
83,290,Player0007,Farkas Viola
84,290,Player0054,Kovács Antal
85,290,Player0059,Bakos Szörénke
86,289,Player0038,Tót Cicelle
87,288,Player002e,Rácz Ahillész
88,288,Player0003,Virágh Fernanda
89,287,Player0059,Bakos Szörénke
90,287,Player0045,Tót Filoméla
91,286,Player005a,Szabó Fürtike
92,286,Player0034,Török Fernandó
93,286,Player001b,Major Léla
94,285,Player0047,Székely Rajmonda
95,284,Player000a,Lakatos Ozor
96,283,Player0063,Takács Pécs
97,283,Player0040,Mészáros Bogdán
98,282,Player0046,Barna Zinajda
99,282,Player002e,Rácz Ahillész
100,282,Player0045,Tót Filoméla
