Rank,Rankscore,Nick,Name
1,392,Player0010,Rácz Lamberta
2,388,Player0040,Mészáros Bogdán
3,383,Player0009,Balog Szilvió
4,382,Player0056,Szűcs Torna
5,374,Player001f,Budai Kála
6,374,Player0032,Szűcs Obadiás
7,365,Player0004,Székely Hódos
8,365,Player000f,Kis Enna
9,364,Player0015,Magyar Évald
10,362,Player0026,Német Márk
11,356,Player0053,Barna Boglárka
12,355,Player002b,Juhász Fabó
13,354,Player0038,Tót Cicelle
14,351,Player0026,Német Márk
15,351,Player0044,Varga Ulrika
16,350,Player0054,Kovács Antal
17,350,Player0060,Novák Tomázia
18,349,Player0053,Barna Boglárka
19,348,Player0042,Major Paks
20,348,Player0042,Major Paks
21,347,Player004b,Nemes Csedő
22,342,Player0043,Deák Margarita
23,342,Player003f,Fazekas Zoárda
24,341,Player005f,Sipos Zotmund
25,339,Player0054,Kovács Antal
26,339,Player0044,Varga Ulrika
27,336,Player002e,Rácz Ahillész
28,334,Player0055,Nemes Ferdinanda
29,333,Player004b,Nemes Csedő
30,333,Player0033,Pataki Anics
31,332,Player0030,Török Rajka
32,331,Player0005,Hajdú András
33,329,Player0052,Sipos Dorog
34,329,Player0030,Török Rajka
35,329,Player002a,Tóth Kocsárd
36,329,Player0002,Vincze Lenóra
37,328,Player0026,Német Márk
38,328,Player0001,Tót Jutalom
39,327,Player005c,Major Stefi
40,323,Player0030,Török Rajka
41,323,Player004b,Nemes Csedő
42,323,Player0012,Kovách Annamária
43,323,Player003d,Gulyás Flanna
44,322,Player005c,Major Stefi
45,322,Player0036,Tóth Bátony
46,322,Player0023,Lakatos Koriolán
47,321,Player004c,Lengyel Ódor
48,321,Player0058,Molnár Antigon
49,320,Player005b,Német Bernát
50,319,Player0038,Tót Cicelle
51,318,Player0060,Novák Tomázia
52,318,Player0014,Bíró Hamilton
53,318,Player0041,Molnár Samu
54,318,Player000d,Magyar Vitolda
55,318,Player000c,Farkas Burzán
56,317,Player005e,Székely Olivér
57,317,Player003e,Bakos Vásti
58,317,Player0028,Kováts Eliz
59,316,Player0038,Tót Cicelle
60,315,Player0012,Kovách Annamária
61,314,Player0032,Szűcs Obadiás
62,314,Player002b,Juhász Fabó
63,313,Player005f,Sipos Zotmund
64,313,Player0001,Tót Jutalom
65,312,Player0008,Nemes Füvellő
66,312,Player003d,Gulyás Flanna
67,310,Player003f,Fazekas Zoárda
68,310,Player004f,Novák Margarét
69,308,Player0050,Lakatos Terestyén
70,305,Player0045,Tót Filoméla
71,305,Player0063,Takács Pécs
72,304,Player0053,Barna Boglárka
73,304,Player0062,Vincze Dezsider
74,304,Player001d,Szilágyi Apszik
75,303,Player0030,Török Rajka
76,302,Player001a,Halász Linett
77,302,Player001e,Kováts Anatol
78,302,Player0019,Kovách Fillisz
79,302,Player0048,Takács Zselyke
80,301,Player0046,Barna Zinajda
81,300,Player0009,Balog Szilvió
82,300,Player000a,Lakatos Ozor
83,299,Player0033,Pataki Anics
84,299,Player000f,Kis Enna
85,298,Player0004,Székely Hódos
86,297,Player0024,Kis Agaton
87,296,Player0044,Varga Ulrika
88,296,Player0009,Balog Szilvió
89,296,Player0051,Lakatos Szemirámisz
90,295,Player0053,Barna Boglárka
91,295,Player0008,Nemes Füvellő
92,295,Player005a,Szabó Fürtike
93,295,Player0054,Kovács Antal
94,295,Player0034,Török Fernandó
95,295,Player0024,Kis Agaton
96,294,Player0035,Sóos Fehéra
97,294,Player0013,Német Cippóra
98,294,Player0033,Pataki Anics
99,293,Player0062,Vincze Dezsider
100,293,Player005e,Székely Olivér
