Rank,Rankscore,Nick,Name
1,432,Player003c,Pásztor Bökény
2,420,Player0031,Nagy Sugárka
3,390,Player0024,Kis Agaton
4,387,Player003f,Fazekas Zoárda
5,378,Player0036,Tóth Bátony
6,376,Player0019,Kovách Fillisz
7,375,Player0063,Takács Pécs
8,375,Player0030,Török Rajka
9,373,Player0061,Hegedűs Eldvin
10,369,Player003d,Gulyás Flanna
11,369,Player0023,Lakatos Koriolán
12,367,Player0011,Szalai Jávorka
13,366,Player004d,Juhász Margarita
14,365,Player0044,Varga Ulrika
15,361,Player0024,Kis Agaton
16,360,Player0031,Nagy Sugárka
17,354,Player0004,Székely Hódos
18,352,Player0053,Barna Boglárka
19,350,Player0046,Barna Zinajda
20,348,Player002d,Pataki Jozefina
21,344,Player0041,Molnár Samu
22,341,Player0059,Bakos Szörénke
23,340,Player0023,Lakatos Koriolán
24,339,Player004f,Novák Margarét
25,337,Player000f,Kis Enna
26,336,Player0028,Kováts Eliz
27,335,Player0023,Lakatos Koriolán
28,333,Player0036,Tóth Bátony
29,332,Player003d,Gulyás Flanna
30,332,Player002b,Juhász Fabó
31,331,Player0029,Kis Eugénia
32,331,Player0031,Nagy Sugárka
33,331,Player001a,Halász Linett
34,330,Player0032,Szűcs Obadiás
35,330,Player0033,Pataki Anics
36,329,Player002d,Pataki Jozefina
37,326,Player004a,Hajdú Tömörkény
38,326,Player0052,Sipos Dorog
39,325,Player003c,Pásztor Bökény
40,324,Player002d,Pataki Jozefina
41,324,Player003c,Pásztor Bökény
42,322,Player0006,Sipos Genovéva
43,320,Player002e,Rácz Ahillész
44,319,Player0003,Virágh Fernanda
45,319,Player001e,Kováts Anatol
46,319,Player0019,Kovách Fillisz
47,318,Player0017,Kozma Baldemár
48,318,Player004f,Novák Margarét
49,318,Player0032,Szűcs Obadiás
50,317,Player0038,Tót Cicelle
51,316,Player0018,Balog Konrád
52,314,Player0048,Takács Zselyke
53,314,Player004f,Novák Margarét
54,312,Player0017,Kozma Baldemár
55,311,Player0007,Farkas Viola
56,311,Player003f,Fazekas Zoárda
57,310,Player0020,Kováts Zelinke
58,309,Player0001,Tót Jutalom
59,309,Player0043,Deák Margarita
60,309,Player0055,Nemes Ferdinanda
61,309,Player004f,Novák Margarét
62,307,Player005e,Székely Olivér
63,307,Player002b,Juhász Fabó
64,307,Player0062,Vincze Dezsider
65,307,Player005f,Sipos Zotmund
66,306,Player0016,Mészáros Herta
67,306,Player0026,Német Márk
68,304,Player002e,Rácz Ahillész
69,304,Player0059,Bakos Szörénke
70,303,Player0003,Virágh Fernanda
71,302,Player000c,Farkas Burzán
72,302,Player0023,Lakatos Koriolán
73,302,Player005a,Szabó Fürtike
74,301,Player0033,Pataki Anics
75,301,Player002d,Pataki Jozefina
76,301,Player0034,Török Fernandó
77,300,Player0062,Vincze Dezsider
78,299,Player003c,Pásztor Bökény
79,299,Player0032,Szűcs Obadiás
80,299,Player0059,Bakos Szörénke
81,298,Player0002,Vincze Lenóra
82,298,Player001d,Szilágyi Apszik
83,297,Player0026,Német Márk
84,296,Player0011,Szalai Jávorka
85,296,Player0059,Bakos Szörénke
86,296,Player002b,Juhász Fabó
87,294,Player0013,Német Cippóra
88,293,Player002b,Juhász Fabó
89,293,Player005d,Gulyás Bercel
90,292,Player0020,Kováts Zelinke
91,292,Player0001,Tót Jutalom
92,291,Player001b,Major Léla
93,291,Player0011,Szalai Jávorka
94,291,Player003a,Török Bartyán
95,290,Player0060,Novák Tomázia
96,290,Player0026,Német Márk
97,290,Player0005,Hajdú András
98,290,Player0040,Mészáros Bogdán
99,290,Player0011,Szalai Jávorka
100,288,Player0059,Bakos Szörénke
