Rank,Rankscore,Nick,Name
1,431,Player0031,Nagy Sugárka
2,419,Player005e,Székely Olivér
3,392,Player001f,Budai Kála
4,385,Player0035,Sóos Fehéra
5,384,Player0032,Szűcs Obadiás
6,381,Player0019,Kovách Fillisz
7,373,Player0010,Rácz Lamberta
8,371,Player001e,Kováts Anatol
9,371,Player0052,Sipos Dorog
10,370,Player0056,Szűcs Torna
11,366,Player0012,Kovách Annamária
12,362,Player0043,Deák Margarita
13,360,Player0021,Molnár Gizella
14,358,Player0029,Kis Eugénia
15,357,Player002e,Rácz Ahillész
16,357,Player0011,Szalai Jávorka
17,357,Player0036,Tóth Bátony
18,354,Player0033,Pataki Anics
19,353,Player000f,Kis Enna
20,352,Player0010,Rácz Lamberta
21,352,Player000c,Farkas Burzán
22,347,Player000d,Magyar Vitolda
23,346,Player001e,Kováts Anatol
24,346,Player001b,Major Léla
25,344,Player005f,Sipos Zotmund
26,344,Player003a,Török Bartyán
27,343,Player004d,Juhász Margarita
28,342,Player0043,Deák Margarita
29,342,Player0046,Barna Zinajda
30,341,Player0021,Molnár Gizella
31,340,Player0048,Takács Zselyke
32,339,Player0033,Pataki Anics
33,336,Player002a,Tóth Kocsárd
34,336,Player005d,Gulyás Bercel
35,334,Player0027,Pásztor Johanna
36,332,Player005b,Német Bernát
37,331,Player002e,Rácz Ahillész
38,329,Player0038,Tót Cicelle
39,327,Player004d,Juhász Margarita
40,324,Player0034,Török Fernandó
41,324,Player0031,Nagy Sugárka
42,324,Player0032,Szűcs Obadiás
43,324,Player0049,Német Jarmila
44,323,Player004d,Juhász Margarita
45,323,Player0043,Deák Margarita
46,323,Player0051,Lakatos Szemirámisz
47,321,Player002c,Varga Balzsam
48,321,Player0006,Sipos Genovéva
49,319,Player0056,Szűcs Torna
50,317,Player0004,Székely Hódos
51,317,Player0061,Hegedűs Eldvin
52,317,Player0015,Magyar Évald
53,315,Player005e,Székely Olivér
54,314,Player004e,Szilágyi Nyilas
55,313,Player002b,Juhász Fabó
56,313,Player004b,Nemes Csedő
57,312,Player001e,Kováts Anatol
58,312,Player000d,Magyar Vitolda
59,312,Player003a,Török Bartyán
60,312,Player002d,Pataki Jozefina
61,311,Player0008,Nemes Füvellő
62,310,Player0048,Takács Zselyke
63,310,Player000c,Farkas Burzán
64,310,Player0027,Pásztor Johanna
65,309,Player0064,Takács Goldi
66,309,Player0060,Novák Tomázia
67,309,Player0028,Kováts Eliz
68,308,Player0002,Vincze Lenóra
69,307,Player005a,Szabó Fürtike
70,307,Player0063,Takács Pécs
71,307,Player0032,Szűcs Obadiás
72,306,Player0010,Rácz Lamberta
73,306,Player0014,Bíró Hamilton
74,305,Player0052,Sipos Dorog
75,303,Player0054,Kovács Antal
76,303,Player002d,Pataki Jozefina
77,303,Player001a,Halász Linett
78,301,Player002a,Tóth Kocsárd
79,301,Player0001,Tót Jutalom
80,301,Player005a,Szabó Fürtike
81,300,Player003a,Török Bartyán
82,299,Player000e,Kocsis Inke
83,297,Player004b,Nemes Csedő
84,297,Player0043,Deák Margarita
85,297,Player003f,Fazekas Zoárda
86,297,Player0038,Tót Cicelle
87,297,Player001c,Tót Radakund
88,297,Player0022,Pataki Alex
89,297,Player0040,Mészáros Bogdán
90,297,Player000b,Mészáros Zója
91,296,Player0013,Német Cippóra
92,294,Player0012,Kovách Annamária
93,293,Player0030,Török Rajka
94,293,Player0011,Szalai Jávorka
95,293,Player0044,Varga Ulrika
96,293,Player002c,Varga Balzsam
97,293,Player005e,Székely Olivér
98,291,Player0002,Vincze Lenóra
99,291,Player0015,Magyar Évald
100,290,Player0013,Német Cippóra
