Rank,Rankscore,Nick,Name
1,411,Player0045,Tót Filoméla
2,402,Player0050,Lakatos Terestyén
3,395,Player0041,Molnár Samu
4,393,Player0036,Tóth Bátony
5,393,Player0002,Vincze Lenóra
6,382,Player0031,Nagy Sugárka
7,381,Player0063,Takács Pécs
8,375,Player005f,Sipos Zotmund
9,371,Player0057,Németh Szendike
10,370,Player0046,Barna Zinajda
11,363,Player0031,Nagy Sugárka
12,361,Player0033,Pataki Anics
13,360,Player0064,Takács Goldi
14,359,Player000b,Mészáros Zója
15,357,Player0043,Deák Margarita
16,355,Player004e,Szilágyi Nyilas
17,355,Player0026,Német Márk
18,352,Player0039,Fodor Seila
19,349,Player0057,Németh Szendike
20,347,Player001a,Halász Linett
21,347,Player002b,Juhász Fabó
22,347,Player002f,Nagy Szulita
23,345,Player003a,Török Bartyán
24,344,Player0062,Vincze Dezsider
25,343,Player0028,Kováts Eliz
26,339,Player000d,Magyar Vitolda
27,339,Player0060,Novák Tomázia
28,339,Player004d,Juhász Margarita
29,339,Player0052,Sipos Dorog
30,337,Player0018,Balog Konrád
31,337,Player002e,Rácz Ahillész
32,337,Player0056,Szűcs Torna
33,335,Player0062,Vincze Dezsider
34,335,Player0005,Hajdú András
35,334,Player0054,Kovács Antal
36,334,Player0001,Tót Jutalom
37,333,Player002c,Varga Balzsam
38,332,Player000e,Kocsis Inke
39,332,Player0047,Székely Rajmonda
40,331,Player004a,Hajdú Tömörkény
41,330,Player0016,Mészáros Herta
42,329,Player0008,Nemes Füvellő
43,329,Player0012,Kovách Annamária
44,329,Player0048,Takács Zselyke
45,329,Player0014,Bíró Hamilton
46,328,Player0012,Kovách Annamária
47,328,Player000e,Kocsis Inke
48,327,Player002a,Tóth Kocsárd
49,326,Player0033,Pataki Anics
50,326,Player0060,Novák Tomázia
51,324,Player001c,Tót Radakund
52,324,Player0048,Takács Zselyke
53,323,Player000d,Magyar Vitolda
54,322,Player005c,Major Stefi
55,321,Player001b,Major Léla
56,320,Player0042,Major Paks
57,320,Player0064,Takács Goldi
58,320,Player000c,Farkas Burzán
59,318,Player000c,Farkas Burzán
60,316,Player0052,Sipos Dorog
61,316,Player0032,Szűcs Obadiás
62,316,Player004a,Hajdú Tömörkény
63,315,Player0053,Barna Boglárka
64,314,Player0026,Német Márk
65,314,Player001f,Budai Kála
66,314,Player001b,Major Léla
67,314,Player001e,Kováts Anatol
68,312,Player0062,Vincze Dezsider
69,310,Player0049,Német Jarmila
70,310,Player0045,Tót Filoméla
71,310,Player0015,Magyar Évald
72,310,Player0060,Novák Tomázia
73,309,Player001a,Halász Linett
74,308,Player0022,Pataki Alex
75,308,Player003c,Pásztor Bökény
76,307,Player002f,Nagy Szulita
77,307,Player0014,Bíró Hamilton
78,306,Player004b,Nemes Csedő
79,306,Player0007,Farkas Viola
80,306,Player0025,Balog Polina
81,306,Player003e,Bakos Vásti
82,303,Player0039,Fodor Seila
83,303,Player003f,Fazekas Zoárda
84,303,Player0054,Kovács Antal
85,303,Player0013,Német Cippóra
86,303,Player002e,Rácz Ahillész
87,303,Player0007,Farkas Viola
88,303,Player0053,Barna Boglárka
89,302,Player0047,Székely Rajmonda
90,302,Player0054,Kovács Antal
91,300,Player000d,Magyar Vitolda
92,299,Player004e,Szilágyi Nyilas
93,299,Player0022,Pataki Alex
94,299,Player0055,Nemes Ferdinanda
95,296,Player0037,Fekete Ata
96,296,Player0060,Novák Tomázia
97,295,Player0064,Takács Goldi
98,295,Player0031,Nagy Sugárka
99,294,Player0052,Sipos Dorog
100,294,Player0020,Kováts Zelinke
