Rank,Rankscore,Nick,Name
1,421,Player0005,Hajdú András
2,418,Player0001,Tót Jutalom
3,406,Player000d,Magyar Vitolda
4,398,Player0030,Török Rajka
5,391,Player002b,Juhász Fabó
6,391,Player0033,Pataki Anics
7,381,Player000c,Farkas Burzán
8,378,Player0001,Tót Jutalom
9,377,Player0041,Molnár Samu
10,369,Player0058,Molnár Antigon
11,364,Player001b,Major Léla
12,359,Player0028,Kováts Eliz
13,355,Player0018,Balog Konrád
14,354,Player0059,Bakos Szörénke
15,354,Player0004,Székely Hódos
16,353,Player0049,Német Jarmila
17,350,Player004b,Nemes Csedő
18,349,Player0019,Kovách Fillisz
19,347,Player0057,Németh Szendike
20,347,Player0012,Kovách Annamária
21,346,Player002c,Varga Balzsam
22,344,Player002f,Nagy Szulita
23,343,Player0055,Nemes Ferdinanda
24,343,Player0036,Tóth Bátony
25,342,Player0004,Székely Hódos
26,337,Player000e,Kocsis Inke
27,336,Player005a,Szabó Fürtike
28,335,Player0026,Német Márk
29,334,Player001a,Halász Linett
30,334,Player0001,Tót Jutalom
31,333,Player004d,Juhász Margarita
32,330,Player001b,Major Léla
33,328,Player004f,Novák Margarét
34,328,Player002f,Nagy Szulita
35,327,Player003f,Fazekas Zoárda
36,326,Player001e,Kováts Anatol
37,325,Player005f,Sipos Zotmund
38,324,Player0055,Nemes Ferdinanda
39,324,Player005b,Német Bernát
40,322,Player0015,Magyar Évald
41,322,Player0042,Major Paks
42,321,Player0047,Székely Rajmonda
43,319,Player000b,Mészáros Zója
44,319,Player0010,Rácz Lamberta
45,318,Player0031,Nagy Sugárka
46,317,Player000a,Lakatos Ozor
47,317,Player0027,Pásztor Johanna
48,316,Player001c,Tót Radakund
49,315,Player0059,Bakos Szörénke
50,315,Player0043,Deák Margarita
51,314,Player0062,Vincze Dezsider
52,314,Player0008,Nemes Füvellő
53,314,Player005c,Major Stefi
54,313,Player005a,Szabó Fürtike
55,313,Player005b,Német Bernát
56,312,Player0032,Szűcs Obadiás
57,311,Player001b,Major Léla
58,311,Player0054,Kovács Antal
59,310,Player002d,Pataki Jozefina
60,309,Player0051,Lakatos Szemirámisz
61,309,Player0017,Kozma Baldemár
62,308,Player0004,Székely Hódos
63,307,Player0063,Takács Pécs
64,306,Player002d,Pataki Jozefina
65,305,Player0029,Kis Eugénia
66,304,Player0052,Sipos Dorog
67,303,Player001a,Halász Linett
68,302,Player004f,Novák Margarét
69,302,Player0051,Lakatos Szemirámisz
70,301,Player0044,Varga Ulrika
71,301,Player0032,Szűcs Obadiás
72,299,Player0024,Kis Agaton
73,299,Player0006,Sipos Genovéva
74,297,Player0054,Kovács Antal
75,297,Player0027,Pásztor Johanna
76,295,Player001b,Major Léla
77,295,Player0004,Székely Hódos
78,295,Player0044,Varga Ulrika
79,295,Player0059,Bakos Szörénke
80,295,Player0039,Fodor Seila
81,294,Player0017,Kozma Baldemár
82,294,Player002f,Nagy Szulita
83,293,Player0061,Hegedűs Eldvin
84,293,Player004f,Novák Margarét
85,293,Player0055,Nemes Ferdinanda
86,292,Player0024,Kis Agaton
87,291,Player005d,Gulyás Bercel
88,291,Player0005,Hajdú András
89,291,Player000a,Lakatos Ozor
90,291,Player0043,Deák Margarita
91,291,Player0043,Deák Margarita
92,290,Player003f,Fazekas Zoárda
93,289,Player0002,Vincze Lenóra
94,288,Player000c,Farkas Burzán
95,287,Player001f,Budai Kála
96,286,Player0002,Vincze Lenóra
97,285,Player003d,Gulyás Flanna
98,284,Player0040,Mészáros Bogdán
99,284,Player000d,Magyar Vitolda
100,283,Player004d,Juhász Margarita
